name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"DTLB-misses","ITLB-misses","L1D-misses","L1I-misses","LLC-misses","avg_size","bits","branch-misses","cycles","duration","failures","fpr","instructions","retries","size","task-clock"
"Xor_Nonpart_Scalar_2/MTCount/300/10/1/10000/100000000/10/iterations:5/manual_time",5,46.7148,0.261436,ms,,,,,,-1,-1,-1,-1,-1,7552,6.0416,-1,-1,46.7148,0,0.249984,-1,0,7552,-1
"Xor_Nonpart_Scalar_2/MTCount/350/10/1/10000/100000000/10/iterations:5/manual_time",5,47.7726,0.252706,ms,,,,,,-1,-1,-1,-1,-1,8768,7.0144,-1,-1,47.7726,0,0.250102,-1,0,8768,-1
"Xor_Nonpart_Scalar_2/MTCount/400/10/1/10000/100000000/10/iterations:5/manual_time",5,46.7293,0.262454,ms,,,,,,-1,-1,-1,-1,-1,10048,8.0384,-1,-1,46.7293,0,0.250015,-1,0,10048,-1
"Xor_Nonpart_Scalar_2/MTCount/450/10/1/10000/100000000/10/iterations:5/manual_time",5,47.6911,0.251636,ms,,,,,,-1,-1,-1,-1,-1,11264,9.0112,-1,-1,47.6911,0,0.25003,-1,0,11264,-1
"Xor_Nonpart_Scalar_2/MTCount/500/10/1/10000/100000000/10/iterations:5/manual_time",5,46.9659,0.25901,ms,,,,,,-1,-1,-1,-1,-1,12544,10.0352,-1,-1,46.9659,0,0.250046,-1,0,12544,-1
"Xor_Nonpart_Scalar_2/MTCount/550/10/1/10000/100000000/10/iterations:5/manual_time",5,46.8828,0.241376,ms,,,,,,-1,-1,-1,-1,-1,13760,11.008,-1,-1,46.8828,0,0.250053,-1,0,13760,-1
"Xor_Nonpart_Scalar_2/MTCount/600/10/1/10000/100000000/10/iterations:5/manual_time",5,47.43,0.273624,ms,,,,,,-1,-1,-1,-1,-1,15040,12.032,-1,-1,47.43,0,0.250077,-1,0,15040,-1
"Xor_Nonpart_Scalar_2/MTCount/650/10/1/10000/100000000/10/iterations:5/manual_time",5,47.1089,0.241538,ms,,,,,,-1,-1,-1,-1,-1,16256,13.0048,-1,-1,47.1089,0,0.250125,-1,0,16256,-1
"Xor_Nonpart_Scalar_2/MTCount/700/10/1/10000/100000000/10/iterations:5/manual_time",5,47.9446,0.267582,ms,,,,,,-1,-1,-1,-1,-1,17536,14.0288,-1,-1,47.9446,0,0.250102,-1,0,17536,-1
"Xor_Nonpart_Scalar_2/MTCount/750/10/1/10000/100000000/10/iterations:5/manual_time",5,47.0678,0.236012,ms,,,,,,-1,-1,-1,-1,-1,18752,15.0016,-1,-1,47.0678,0,0.250042,-1,0,18752,-1
"Xor_Nonpart_Scalar_2/MTCount/800/10/1/10000/100000000/10/iterations:5/manual_time",5,48.0574,0.27566,ms,,,,,,-1,-1,-1,-1,-1,20032,16.0256,-1,-1,48.0574,0,0.25008,-1,0,20032,-1
"Xor_Nonpart_Scalar_2/MTCount/850/10/1/10000/100000000/10/iterations:5/manual_time",5,47.1065,0.241446,ms,,,,,,-1,-1,-1,-1,-1,21312,17.0496,-1,-1,47.1065,0,0.250056,-1,0,21312,-1
"Xor_Nonpart_Scalar_2/MTCount/900/10/1/10000/100000000/10/iterations:5/manual_time",5,47.2384,0.278052,ms,,,,,,-1,-1,-1,-1,-1,22528,18.0224,-1,-1,47.2384,0,0.250089,-1,0,22528,-1
"Xor_Nonpart_Scalar_2/MTCount/950/10/1/10000/100000000/10/iterations:5/manual_time",5,48.0605,0.25157,ms,,,,,,-1,-1,-1,-1,-1,23808,19.0464,-1,-1,48.0605,0,0.250094,-1,0,23808,-1
"Xor_Nonpart_Scalar_2/MTCount/1000/10/1/10000/100000000/10/iterations:5/manual_time",5,47.1749,0.254726,ms,,,,,,-1,-1,-1,-1,-1,25024,20.0192,-1,-1,47.1749,0,0.250092,-1,0,25024,-1
"Xor_Nonpart_Scalar_2/MTCount/1050/10/1/10000/100000000/10/iterations:5/manual_time",5,48.0638,0.258184,ms,,,,,,-1,-1,-1,-1,-1,26304,21.0432,-1,-1,48.0638,0,0.250069,-1,0,26304,-1
"Xor_Nonpart_Scalar_2/MTCount/1100/10/1/10000/100000000/10/iterations:5/manual_time",5,47.069,0.262976,ms,,,,,,-1,-1,-1,-1,-1,27520,22.016,-1,-1,47.069,0,0.250071,-1,0,27520,-1
"Xor_Nonpart_Scalar_2/MTCount/1150/10/1/10000/100000000/10/iterations:5/manual_time",5,46.9945,0.242866,ms,,,,,,-1,-1,-1,-1,-1,28800,23.04,-1,-1,46.9945,0,0.250095,-1,0,28800,-1
"Xor_Nonpart_Scalar_2/MTCount/1200/10/1/10000/100000000/10/iterations:5/manual_time",5,47.6952,0.245518,ms,,,,,,-1,-1,-1,-1,-1,30016,24.0128,-1,-1,47.6952,0,0.25009,-1,0,30016,-1
